Year,Month,Total_Num_Reports,Num_Reports_Lake,Num_Reports_Rivers,Num_Reports_Marine,Num_Reports_Other,Num_Reports_NoAdvisory,Num_Reports_Caution,Num_Reports_Warning,Num_Reports_Danger,Num_Reports_UnknownAdvisory,Percent_Lake,Percent_River,Percent_Marine,Percent_Other,Percent_NoAdvisory,Percent_Caution,Percent_Warning,Percent_Danger,Percent_UnknownAdvisory,blue green algae
2021,12,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0
2022,1,60,32.0,28.0,0.0,0.0,0.0,8.0,1.0,2.0,49.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.0,0.13333333333333333,0.016666666666666666,0.03333333333333333,0.8166666666666667,7
2022,2,28,9.0,10.0,0.0,9.0,0.0,4.0,1.0,0.0,23.0,0.32142857142857145,0.35714285714285715,0.0,0.32142857142857145,0.0,0.14285714285714285,0.03571428571428571,0.0,0.8214285714285714,5
2022,3,18,5.0,9.0,0.0,4.0,0.0,1.0,0.0,0.0,17.0,0.2777777777777778,0.5,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.0,0.9444444444444444,5
2022,4,30,26.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,25.0,0.8666666666666667,0.1,0.0,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.0,0.8333333333333334,6
2022,5,175,126.0,31.0,2.0,16.0,1.0,5.0,0.0,0.0,169.0,0.72,0.17714285714285713,0.011428571428571429,0.09142857142857143,0.005714285714285714,0.02857142857142857,0.0,0.0,0.9657142857142857,7
2022,6,63,36.0,16.0,5.0,6.0,1.0,2.0,0.0,0.0,60.0,0.5714285714285714,0.25396825396825395,0.07936507936507936,0.09523809523809523,0.015873015873015872,0.031746031746031744,0.0,0.0,0.9523809523809523,10
2022,7,86,31.0,48.0,0.0,7.0,2.0,7.0,0.0,1.0,76.0,0.36046511627906974,0.5581395348837209,0.0,0.08139534883720931,0.023255813953488372,0.08139534883720931,0.0,0.011627906976744186,0.8837209302325582,19
2022,8,74,31.0,32.0,5.0,6.0,1.0,9.0,1.0,2.0,61.0,0.4189189189189189,0.43243243243243246,0.06756756756756757,0.08108108108108109,0.013513513513513514,0.12162162162162163,0.013513513513513514,0.02702702702702703,0.8243243243243243,12
2022,9,79,33.0,28.0,4.0,14.0,1.0,3.0,1.0,1.0,73.0,0.4177215189873418,0.35443037974683544,0.05063291139240506,0.17721518987341772,0.012658227848101266,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.9240506329113924,10
2022,10,35,29.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,33.0,0.8285714285714286,0.11428571428571428,0.0,0.05714285714285714,0.0,0.05714285714285714,0.0,0.0,0.9428571428571428,7
2022,11,13,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,4
2022,12,36,22.0,2.0,3.0,9.0,0.0,3.0,1.0,0.0,32.0,0.6111111111111112,0.05555555555555555,0.08333333333333333,0.25,0.0,0.08333333333333333,0.027777777777777776,0.0,0.8888888888888888,3
2023,1,178,103.0,48.0,7.0,20.0,0.0,3.0,1.0,4.0,170.0,0.5786516853932584,0.2696629213483146,0.03932584269662921,0.11235955056179775,0.0,0.016853932584269662,0.0056179775280898875,0.02247191011235955,0.9550561797752809,3
2023,2,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2023,3,4,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,5
2023,4,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
2023,5,39,17.0,20.0,0.0,2.0,0.0,2.0,0.0,0.0,37.0,0.4358974358974359,0.5128205128205128,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.0,0.9487179487179487,5
2023,6,43,32.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,42.0,0.7441860465116279,0.23255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.9767441860465116,7
2023,7,20,5.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,20.0,0.25,0.4,0.15,0.2,0.0,0.0,0.0,0.0,1.0,14
2023,8,33,9.0,13.0,8.0,3.0,0.0,8.0,0.0,0.0,25.0,0.2727272727272727,0.3939393939393939,0.24242424242424243,0.09090909090909091,0.0,0.24242424242424243,0.0,0.0,0.7575757575757576,7
2023,9,16,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.5,0.4375,0.0,0.0625,0.0,0.0,0.0,0.0,1.0,8
2023,10,12,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
2023,11,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
2023,12,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2024,1,7,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,6
2024,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
